,Country,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
2,Algeria,160,8857,6,623,211,5129,2020-05-28T10:46:54Z
4,Angola,1,71,0,4,0,18,2020-05-28T10:46:54Z
18,Benin,2,210,0,3,16,134,2020-05-28T10:46:54Z
22,Botswana,0,35,0,1,0,20,2020-05-28T10:46:54Z
26,Burkina Faso,13,845,1,53,0,672,2020-05-28T10:46:54Z
27,Burundi,0,42,0,1,0,20,2020-05-28T10:46:54Z
29,Cameroon,0,5436,0,175,0,1996,2020-05-28T10:46:54Z
33,Chad,15,715,2,64,56,359,2020-05-28T10:46:54Z
38,Congo (Brazzaville),84,571,3,19,14,161,2020-05-28T10:46:54Z
32,Central African Republic,31,702,0,1,1,23,2020-05-28T10:46:54Z
39,Congo (Kinshasa),143,2546,0,68,25,365,2020-05-28T10:46:54Z
51,Egypt,910,19666,19,816,178,5205,2020-05-28T10:46:54Z
53,Equatorial Guinea,0,1043,0,12,0,165,2020-05-28T10:46:54Z
54,Eritrea,0,39,0,0,0,39,2020-05-28T10:46:54Z
56,Ethiopia,30,731,0,6,14,181,2020-05-28T10:46:54Z
64,Ghana,186,7303,0,34,95,2412,2020-05-28T10:46:54Z
68,Guinea,0,3275,0,20,0,1673,2020-05-28T10:46:54Z
69,Guinea-Bissau,17,1195,0,7,0,42,2020-05-28T10:46:54Z
87,Kenya,123,1471,3,55,3,408,2020-05-28T10:46:54Z
95,Liberia,0,266,1,27,0,144,2020-05-28T10:46:54Z
139,Rwanda,7,346,0,0,1,245,2020-05-28T10:46:54Z
96,Libya,22,99,1,4,0,40,2020-05-28T10:46:54Z
101,Madagascar,26,612,0,2,4,151,2020-05-28T10:46:54Z
108,Mauritius,0,334,0,10,0,322,2020-05-28T10:46:54Z
114,Morocco,24,7601,0,202,97,4978,2020-05-28T10:46:54Z
115,Mozambique,14,227,0,1,0,71,2020-05-28T10:46:54Z
117,Namibia,1,22,0,0,0,14,2020-05-28T10:46:54Z
122,Niger,0,952,0,63,0,796,2020-05-28T10:46:54Z
123,Nigeria,389,8733,5,254,116,2501,2020-05-28T10:46:54Z
148,Seychelles,0,11,0,0,0,11,2020-05-28T10:46:54Z
169,Togo,4,395,0,13,6,183,2020-05-28T10:46:54Z
149,Sierra Leone,28,782,1,45,0,297,2020-05-28T10:46:54Z
102,Malawi,0,101,0,4,0,37,2020-05-28T10:46:54Z
155,South Sudan,188,994,2,10,0,6,2020-05-28T10:46:54Z
171,Tunisia,0,1051,0,48,0,929,2020-05-28T10:46:54Z
173,Uganda,28,281,0,0,0,69,2020-05-28T10:46:54Z
146,Senegal,92,3253,2,38,21,1586,2020-05-28T10:46:54Z
154,South Africa,1673,25937,28,552,710,13451,2020-05-28T10:46:54Z
158,Sudan,370,4346,25,195,246,749,2020-05-28T10:46:54Z
182,Western Sahara,0,9,0,1,0,6,2020-05-28T10:46:54Z
184,Zambia,137,1057,0,7,443,779,2020-05-28T10:46:54Z
185,Zimbabwe,76,132,0,4,0,25,2020-05-28T10:46:54Z
